Point_Index,HAM_Speed,RUS_Speed,HAM_RPM,RUS_RPM,HAM_Throttle,RUS_Throttle,HAM_Brake,RUS_Brake,HAM_nGear,RUS_nGear,Speed_Gap_kmh,Speed_Leader
0,253.48,253.4500032,10471.78,10498.6500544,100.0,100.0,False,False,7,6,0.029996799999992163,HAM
1,255.0,254.2250048,10536.0,10511.8250816,100.0,100.0,False,False,7,6,0.7749952000000064,HAM
2,257.74999893333336,255.0,10659.749952,10525.0,100.0,100.0,False,False,7,7,2.7499989333333588,HAM
3,259.0,259.0,10716.0,10715.0,100.0,100.0,False,False,7,7,0.0,RUS
4,261.0,259.42857325714283,10774.0,10726.785764571428,100.0,100.0,False,False,7,7,1.5714267428571702,HAM
5,261.74999893333336,262.27143131428573,10808.8749504,10804.964361142856,100.0,100.0,False,False,7,7,-0.5214323809523762,RUS
6,265.0,263.0,10960.0,10825.0,100.0,100.0,False,False,7,7,2.0,HAM
7,266.3124992,266.0,10992.81248,10949.0,100.0,100.0,False,False,7,7,0.31249919999999065,HAM
8,268.0,267.0,11035.0,11002.0,100.0,100.0,False,False,7,7,1.0,HAM
9,269.64,267.6125024,11123.56,11018.843816,100.0,100.0,False,False,7,7,2.027497600000004,HAM
10,270.0,269.0,11143.0,11057.0,100.0,100.0,False,False,7,7,1.0,HAM
11,272.4,269.49000192,11189.8,11078.31508352,100.0,100.0,False,False,7,7,2.90999807999998,HAM
12,274.0,271.0,11221.0,11144.0,100.0,100.0,False,False,7,7,3.0,HAM
13,274.8749994666667,272.1,11266.499972266667,11197.35,100.0,100.0,False,False,7,7,2.7749994666666566,HAM
14,277.0,273.0,11377.0,11241.0,100.0,100.0,False,False,7,7,4.0,HAM
15,277.4642852571429,273.0997250660742,11391.392842971429,11242.221632059409,100.0,100.0,False,False,7,7,4.364560191068676,HAM
16,279.0,276.6454295514613,11439.0,11285.6565120054,100.0,100.0,False,False,7,7,2.354570448538709,HAM
17,279.0624992,277.0,11441.6874656,11290.0,100.0,100.0,False,False,7,7,2.0624991999999907,HAM
18,281.0,278.05,11525.0,11388.7,100.0,100.0,False,False,7,7,2.9499999999999886,HAM
19,281.0,279.0,11525.0,11478.0,100.0,100.0,False,False,7,7,2.0,HAM
20,281.0,279.175,11525.0,11486.05,100.0,100.0,False,False,7,7,1.8249999999999886,HAM
21,281.0,280.675,11525.0,11555.05,100.0,100.0,False,False,7,7,0.32499999999998863,HAM
22,281.0,281.0,11525.0,11570.0,100.0,100.0,False,False,7,7,0.0,RUS
23,281.0,281.73333333333335,11525.0,11596.766666666666,100.0,100.0,False,False,7,7,-0.7333333333333485,RUS
24,281.0,283.0,11525.0,11643.0,100.0,100.0,False,False,7,7,-2.0,RUS
25,281.0,283.62857142857143,11639.083293866666,11648.971428571429,100.0,100.0,False,False,7,7,-2.6285714285714334,RUS
26,281.0,285.0,11673.0,11662.0,100.0,100.0,False,False,7,7,-4.0,RUS
27,283.8124992,284.86,11696.9062432,11660.74,100.0,100.0,False,False,7,7,-1.047500800000023,RUS
28,285.0,284.0,11707.0,11653.0,100.0,100.0,False,False,7,7,1.0,HAM
29,284.47500032,284.0,11649.2500352,11660.849066081892,93.17500416,100.0,False,False,7,7,0.47500031999999237,HAM
30,284.0,284.0,11597.0,11679.0,87.0,100.0,False,False,7,7,0.0,RUS
31,277.6,284.0,11204.2,11642.718696,56.6,100.0,False,False,7,7,-6.399999999999977,RUS
32,268.0,284.0,10615.0,11634.0,11.0,100.0,True,False,7,7,-16.0,RUS
33,263.1250048,284.0,10477.6876352,11570.4374096,8.7656272,78.90622,True,False,7,7,-20.8749952,RUS
34,246.7,284.0,10015.05,11408.0,1.237499999999999,25.0,True,False,7,7,-37.30000000000001,RUS
35,244.0,282.7499968,9939.0,11390.99995648,0.0,18.749984,True,False,7,7,-38.74999680000002,RUS
36,244.0,279.0,10230.0,11340.0,0.0,0.0,True,True,7,7,-35.0,RUS
37,216.7,271.3606930285714,10428.45,11006.088356571428,0.0,0.0,True,True,7,7,-54.660693028571416,RUS
38,192.0,248.0,10608.0,9985.0,0.0,0.0,True,True,7,7,-56.0,RUS
39,190.40278186666666,223.7843504,10596.888917333334,9751.1122624,0.0,0.0,True,True,7,7,-33.381568533333336,RUS
40,175.06944853333334,207.0,10490.222250666666,9589.0,0.0,0.0,True,True,7,7,-31.930551466666657,RUS
41,169.0,205.7624736,10448.0,9591.8875616,0.0,0.0,True,True,6,7,-36.76247359999999,RUS
42,156.18679366752895,174.0,10302.954504316427,9666.0,0.0,0.0,True,True,6,7,-17.813206332471054,RUS
43,145.9931696410869,158.23635316363635,10187.562680337103,9865.672859927272,0.0,0.0,True,True,6,7,-12.243183522549458,RUS
44,144.0,150.0,10165.0,9970.0,0.0,0.0,True,True,3,4,-6.0,RUS
45,138.0,149.59999488,9604.0,9906.9991936,0.0,0.0,True,True,3,4,-11.599994879999997,RUS
46,132.9583352888889,142.0,9499.958373688889,8710.0,0.0,0.0,True,True,3,4,-9.04166471111111,RUS
47,127.0,140.1590882909091,9377.0,8558.022511127272,0.0,0.0,False,True,3,4,-13.159088290909096,RUS
48,126.95000064,134.84090647272728,9367.22512512,8118.977056581818,0.09999872,0.0,False,True,3,4,-7.8909058327272845,RUS
49,125.16,133.0,9017.28,7967.0,3.68,0.0,False,False,3,4,-7.840000000000003,RUS
50,125.0,131.2749952,8986.0,7894.1185472,4.0,0.0,False,False,3,4,-6.274995200000006,RUS
51,123.82142902857143,129.0,9205.214200685714,7798.0,19.91070811428571,0.0,False,False,3,4,-5.17857097142857,RUS
52,123.0,126.8499968,9358.0,7821.1125344,31.0,1.0750016,False,False,3,4,-3.8499967999999996,RUS
53,123.9107136,125.0,9416.5892416,7841.0,36.7678528,2.0,False,False,3,4,-1.089286400000006,RUS
54,125.84999862857143,123.89999872,9541.34991177143,7898.7500672,49.04999131428572,18.5000192,False,False,3,4,1.949999908571428,HAM
55,126.0,123.0,9551.0,7946.0,50.0,32.0,False,False,3,4,3.0,HAM
56,132.0,125.6125024,8685.0,8210.90774336,62.0,44.54001152,False,False,3,4,6.387497600000003,HAM
57,135.20833137777777,127.6250016,8804.874926933333,8414.97516224,62.291666488888886,54.20000768,False,False,3,4,7.583329777777763,HAM
58,143.0,128.0,9096.0,8453.0,63.0,56.0,False,False,4,4,15.0,HAM
59,143.9142857142857,132.0,9031.085714285715,8704.0,56.82857142857143,63.0,False,False,4,4,11.914285714285711,HAM
60,147.0,134.08333866666666,8812.0,8738.583421866666,36.0,63.20833386666666,False,False,4,4,12.916661333333337,HAM
61,146.8,141.54167466666667,8798.7,8862.391799466666,32.4,63.95416746666667,False,False,4,4,5.258325333333346,HAM
62,145.0,142.0,8679.0,8870.0,0.0,64.0,True,False,4,4,3.0,HAM
63,142.4,144.0,8751.8,9204.0,0.0,61.0,True,False,4,4,-1.5999999999999943,RUS
64,140.0,145.59643062857143,8819.0,9203.467856457142,0.0,50.88927268571429,True,False,4,4,-5.596430628571426,RUS
65,132.0,147.0,9308.0,9203.0,0.0,42.0,True,False,3,4,-15.0,RUS
66,123.95,146.64166613333333,8881.925,9131.691560533332,0.0,29.0999808,True,False,3,4,-22.691666133333328,RUS
67,118.0,146.03055502222222,8567.0,9010.080449422223,0.0,7.099980800000004,True,False,3,4,-28.030555022222217,RUS
68,113.2,146.0,7899.8,9004.0,0.0,6.0,True,False,3,4,-32.8,RUS
69,110.0,139.60747328151132,7455.0,9144.635587806752,0.0,1.7383155210075394,True,False,3,4,-29.607473281511318,RUS
70,103.2,137.0,7129.45,9202.0,0.0,0.0,True,True,3,4,-33.8,RUS
71,102.0,129.85,7072.0,9013.9,0.0,0.0,True,True,3,4,-27.849999999999994,RUS
72,99.0,124.975,6879.0,8885.65,0.0,0.0,True,True,3,4,-25.974999999999994,RUS
73,95.0,124.0,6518.0,8860.0,0.0,0.0,True,True,3,3,-29.0,RUS
74,94.35714377142857,108.0,6483.607191771429,7593.0,0.0,0.0,True,True,3,3,-13.642856228571432,RUS
75,92.08571428571429,107.76,6362.085714285714,7571.12,0.0,0.0,True,True,3,3,-15.674285714285716,RUS
76,91.0,102.0,6304.0,7046.0,0.0,0.0,True,True,3,3,-11.0,RUS
77,87.93333333333334,100.15,6090.1,6789.775,0.0,0.0,True,True,3,3,-12.216666666666669,RUS
78,87.0,100.0,6025.0,6769.0,0.0,0.0,True,True,3,3,-13.0,RUS
79,85.8281256,98.24,6042.9687408,6683.64,0.0,0.0,True,True,3,3,-12.411874399999988,RUS
80,84.15,96.0,6068.7,6575.0,0.0,0.0,True,True,3,3,-11.849999999999994,RUS
81,84.0,91.8125,6071.0,6451.05,0.0,0.0,False,True,3,3,-7.8125,RUS
82,80.0,91.0,6071.0,6427.0,0.0,0.0,False,True,3,3,-11.0,RUS
83,80.67499904,88.0,6135.34990848,6121.0,6.9749900799999995,0.0,False,False,3,3,-7.325000959999997,RUS
84,81.57499904,85.46499712,6221.14990848,6142.125024,16.27499008,0.0,False,False,3,3,-3.8899980800000122,RUS
85,83.0,85.0,6357.0,6146.0,31.0,0.0,False,False,3,3,-2.0,RUS
86,85.89999872,84.0,6544.04991744,6402.0,34.6249984,26.0,False,False,3,3,1.8999987199999993,HAM
87,87.0,84.17857371428572,6615.0,6414.035868342857,36.0,26.214288457142857,False,False,3,3,2.8214262857142813,HAM
88,87.975,87.37500342857143,6809.675,6629.475231085715,37.625,30.050004114285713,False,False,3,3,0.5999965714285622,HAM
89,90.0,89.0,7214.0,6739.0,41.0,32.0,False,False,3,3,1.0,HAM
90,94.4305536,89.7875008,7560.388736,7068.9628352,45.027776,40.6625088,False,False,3,3,4.643052799999992,HAM
91,101.0,90.0,8074.0,7158.0,51.0,43.0,False,False,3,3,11.0,HAM
92,106.36249792,95.3156304,8376.36238272,7521.8253696,55.1249984,51.268758399999996,False,False,3,3,11.046867519999992,HAM
93,111.56249792,99.0,8669.56238272,7774.0,59.124998399999996,57.0,False,False,3,3,12.562497919999998,HAM
94,114.0,104.2406328,8807.0,8113.4317552,61.0,61.4343816,False,False,3,3,9.7593672,HAM
95,117.20833137777778,112.0,9194.041430755555,8616.0,64.79166435555555,68.0,False,False,3,3,5.208331377777782,HAM
96,125.0,115.56000768,10134.0,8870.54054912,74.0,70.67000576,False,False,3,3,9.439992320000002,HAM
97,125.19999744,120.0,10138.02494848,9188.0,74.09999872,74.0,False,False,3,3,5.199997440000004,HAM
98,133.0,122.1500032,10295.0,9279.9126368,78.0,76.1500032,False,False,3,3,10.8499968,HAM
99,135.02499712,124.0,10462.96226112,9359.0,80.47499648,78.0,False,False,3,3,11.024997119999995,HAM
100,140.38,130.60000768,10907.13,10038.80079104,87.02,82.40000512,False,False,3,3,9.779992319999991,HAM
101,151.0,136.0,11788.0,10595.0,100.0,86.0,False,False,3,3,15.0,HAM
102,152.562496,148.08612124444446,11692.687744,11002.111452444444,100.0,88.54444657777778,False,False,3,3,4.476374755555554,HAM
103,161.0,155.0,11178.0,11235.0,100.0,90.0,False,False,3,3,6.0,HAM
104,167.8333312,157.2500032,10867.9375968,11629.3130608,100.0,95.625008,False,False,3,3,10.583327999999995,HAM
105,169.0,159.0,10815.0,11936.0,100.0,100.0,False,False,4,3,10.0,HAM
106,174.68181527272728,164.8437568,11063.295327418182,11583.3120896,100.0,100.0,False,False,4,3,9.838058472727283,HAM
107,189.0,176.0,11689.0,10910.0,100.0,100.0,False,False,4,4,13.0,HAM
108,189.1477253818182,176.75000192,11681.159191272727,10910.0,100.0,100.0,False,False,4,4,12.397723461818202,HAM
109,196.20909090909092,179.0,11306.363636363636,10910.0,100.0,100.0,False,False,4,4,17.209090909090918,HAM
110,202.0,179.3333376,10999.0,10947.708816,100.0,100.0,False,False,5,4,22.666662400000007,HAM
111,204.13333333333333,181.96667306666666,11100.68888888889,11245.604890666667,100.0,100.0,False,False,5,4,22.166660266666668,HAM
112,214.0,187.0,11571.0,11815.0,100.0,100.0,False,False,5,4,27.0,HAM
113,214.45,187.0,11593.8,11815.0,100.0,100.0,False,False,5,4,27.44999999999999,HAM
114,217.0,187.0,11723.0,11815.0,100.0,100.0,False,False,5,4,30.0,HAM
115,217.6,197.00000853333333,11672.257142857143,11345.624599466666,100.0,100.0,False,False,5,4,20.599991466666665,HAM
116,222.1249984,203.0,11289.571563885715,11064.0,100.0,100.0,False,False,5,5,19.12499840000001,HAM
117,224.0,205.3625024,11131.0,11390.812832,100.0,100.0,False,False,5,5,18.63749759999999,HAM
118,227.29999872,206.0,10943.72507264,11479.0,100.0,100.0,False,False,5,5,21.29999871999999,HAM
119,228.0,217.0,10904.0,11608.0,100.0,100.0,False,False,6,5,11.0,HAM
120,232.89999872,217.9639947892327,11143.48743744,11546.304333489108,100.0,100.0,False,False,6,5,14.936003930767328,HAM
121,236.0,226.60664947236373,11295.0,10993.174433768721,100.0,100.0,False,False,6,5,9.393350527636272,HAM
122,236.0625,229.0,11297.6625,10840.0,100.0,100.0,False,False,6,6,7.0625,HAM
123,237.640624,232.08333333333334,11364.8905824,10984.3,100.0,100.0,False,False,6,6,5.55729066666666,HAM
124,241.0,238.75,11508.0,11296.3,100.0,100.0,False,False,6,6,2.25,HAM
125,242.1249993142857,239.0,11541.749979428572,11308.0,100.0,100.0,False,False,6,6,3.124999314285702,HAM
126,243.82857142857142,239.94444444444446,11592.857142857143,11345.211111111112,100.0,100.0,False,False,6,6,3.884126984126965,HAM
127,244.0,242.72222222222223,11598.0,11454.655555555555,100.0,100.0,False,False,6,6,1.2777777777777715,HAM
128,248.0,244.0,11581.0,11505.0,97.0,100.0,False,False,6,6,4.0,HAM
129,239.31579130252257,246.775,10889.005685895745,11625.25,52.66482928129937,100.0,False,False,6,6,-7.459208697477436,RUS
130,231.94736894357789,247.0,10301.858767398784,11635.0,15.047094080371252,100.0,False,False,6,6,-15.052631056422115,RUS
131,229.0,247.52857142857144,10067.0,11674.642857142857,0.0,100.0,True,False,6,6,-18.52857142857144,RUS
132,208.0,248.0,10225.0,11710.0,0.0,100.0,True,False,6,6,-40.0,RUS
133,178.0,236.2437536,10990.0,11482.7125696,0.0,40.565643200000004,True,False,5,6,-58.24375359999999,RUS
134,176.92,230.0,10873.12,11362.0,0.0,9.0,True,True,5,6,-53.08000000000001,RUS
135,169.0,230.0,10016.0,11340.867899010293,0.0,8.547169264506282,True,True,4,6,-61.0,RUS
136,164.5,230.0,9780.5,10942.0,0.0,0.0,True,True,4,6,-65.5,RUS
137,154.0,225.6499712,9231.0,10957.66010368,0.0,0.0,True,True,4,6,-71.64997120000001,RUS
138,149.62500224,200.0,9016.62510976,11050.0,0.0,0.0,True,True,4,6,-50.374997760000014,RUS
139,147.0,190.00831573333335,8888.0,10889.2247168,0.0,0.0,True,True,4,6,-43.00831573333335,RUS
140,144.0,178.0,8720.0,10696.0,0.0,0.0,False,True,4,6,-34.0,RUS
141,141.2812512,175.95832533333333,8680.5781424,10539.879943822221,3.6249984,0.0,False,True,4,6,-34.67707413333332,RUS
142,138.0,163.0,8633.0,9549.0,8.0,0.0,False,True,4,4,-25.0,RUS
143,137.95024937719384,159.7861041777778,8632.900498754389,9445.908110933333,8.223877802627758,0.0,False,True,4,4,-21.835854800583945,RUS
144,136.0,154.0083264,8629.0,9260.5747776,17.0,0.0,False,True,4,4,-18.008326399999987,RUS
145,135.8158996308888,150.0,8647.594137280232,9132.0,21.786609596891154,0.0,False,True,4,4,-14.184100369111206,RUS
146,135.0,147.8874976,8730.0,9023.558210133333,43.0,0.0,False,True,4,4,-12.887497599999989,RUS
147,137.4166656,147.0,8870.1666048,8978.0,49.041664,0.0,False,False,4,4,-9.583334400000012,RUS
148,139.0,143.7749952,8962.0,8882.8623584,53.0,4.8375072,False,False,4,4,-4.774995200000006,RUS
149,140.3214281142857,141.0,9239.499904,8801.0,60.92856868571428,9.0,False,False,4,4,-0.6785718857142911,RUS
150,141.0,140.94999936,9382.0,8804.65004672,65.0,10.15001472,False,False,4,4,0.05000064000000748,HAM
151,148.0,140.0,9662.0,8874.0,71.0,32.0,False,False,4,4,8.0,HAM
152,152.66071222857144,140.2718768,10012.071274057143,8892.578248,77.73213988571429,34.26564,False,False,4,4,12.38883542857144,HAM
153,154.58928365714286,143.0,10156.928416914287,9079.0,80.51785417142857,57.0,False,False,4,4,11.589283657142857,HAM
154,157.0,143.1785737142857,10338.0,9092.5001728,84.0,57.35714742857143,False,False,4,4,13.821426285714296,HAM
155,162.65277582222222,148.0,10701.319318755555,9457.0,86.56944355555555,67.0,False,False,4,4,14.652775822222225,HAM
156,168.0,148.27500352,11045.0,9479.35028608,89.0,67.40000512,False,False,4,4,19.724996479999987,HAM
157,175.56249706666668,156.52500352,11444.437345066666,10149.85028608,96.56249706666667,79.40000512,False,False,4,4,19.037493546666667,HAM
158,179.0,159.0,11626.0,10351.0,100.0,83.0,False,False,4,4,20.0,HAM
159,183.16666453333335,162.0,11833.291560533333,10612.0,100.0,94.0,False,False,4,4,21.166664533333346,HAM
160,187.0,164.70000384,12024.0,10736.20017664,100.0,95.35000192,False,False,4,4,22.299996160000006,HAM
161,194.0,171.90000384,11184.0,11067.40017664,100.0,98.95000192,False,False,4,4,22.09999615999999,HAM
162,195.54,174.0,11139.34,11164.0,100.0,100.0,False,False,4,4,21.539999999999992,HAM
163,201.0,182.0,10981.0,11853.0,100.0,100.0,False,False,5,4,19.0,HAM
164,203.27499776,182.35714742857144,11088.57489408,11817.999552,100.0,100.0,False,False,5,4,20.917850331428554,HAM
165,208.0,190.892864,11312.0,10981.499328,100.0,100.0,False,False,5,4,17.107135999999997,HAM
166,214.4,192.0,11631.2,10873.0,100.0,100.0,False,False,5,4,22.400000000000006,HAM
167,216.0,202.0,11711.0,10979.0,100.0,100.0,False,False,5,5,14.0,HAM
168,218.1,203.7250048,11226.74,11109.812864,100.0,100.0,False,False,5,5,14.3749952,HAM
169,221.0,208.0,10558.0,11434.0,100.0,100.0,False,False,5,5,13.0,HAM
170,223.1,210.07000576,10518.52,11536.12028416,100.0,100.0,False,False,5,5,13.029994240000008,HAM
171,226.0,214.0,10464.0,11730.0,100.0,100.0,False,False,5,5,12.0,HAM
172,228.6,215.22776058459064,10621.56,11594.700783578111,100.0,100.0,False,False,5,5,13.372239415409354,HAM
173,235.1249984,219.0,11016.97490304,11179.0,100.0,100.0,False,False,5,5,16.12499840000001,HAM
174,236.0,224.25,11070.0,11005.225,100.0,100.0,False,False,6,5,11.75,HAM
175,239.4166656,229.0,11333.0832512,10848.0,100.0,100.0,False,False,6,6,10.416665599999988,HAM
176,240.0,229.2937488,11378.0,10896.468552,100.0,100.0,False,False,6,6,10.706251199999997,HAM
177,241.05,231.0,11455.0,11178.0,100.0,100.0,False,False,6,6,10.050000000000011,HAM
178,243.0,232.71428571428572,11598.0,11214.0,100.0,100.0,False,False,6,6,10.285714285714278,HAM
179,245.88,241.0,11417.28,11388.0,100.0,100.0,False,False,6,6,4.8799999999999955,HAM
180,247.0,241.16,11347.0,11393.8,100.0,100.0,False,False,6,6,5.840000000000003,HAM
181,252.0,245.0,10467.0,11533.0,100.0,100.0,False,False,7,6,7.0,HAM
182,252.1071414857143,246.275,10468.928546742856,11354.5,100.0,100.0,False,False,7,6,5.832141485714288,HAM
183,257.2499986285714,248.0,10561.499975314286,11113.0,100.0,100.0,False,False,7,6,9.249998628571404,HAM
184,258.0,249.13333333333333,10575.0,10869.9,100.0,100.0,False,False,7,6,8.866666666666674,HAM
185,259.03333333333336,252.0,10706.233333333334,10255.0,100.0,100.0,False,False,7,7,7.03333333333336,HAM
186,260.0,252.11428571428573,10829.0,10264.971428571429,100.0,100.0,False,False,7,7,7.885714285714272,HAM
187,260.8437488,254.4,10849.2499712,10464.4,100.0,100.0,False,False,7,7,6.443748800000009,HAM
188,265.3437488,256.0,10957.2499712,10604.0,100.0,100.0,False,False,7,7,9.343748800000014,HAM
189,266.0,258.4735389273523,10973.0,10670.37329455062,100.0,100.0,False,False,7,7,7.526461072647692,HAM
190,269.0,261.14763506503044,11077.0,10742.128207578317,100.0,100.0,False,False,7,7,7.8523649349695575,HAM
191,269.0624992,262.0,11079.8749632,10765.0,100.0,100.0,False,False,7,7,7.062499199999991,HAM
192,271.0,262.74642925714284,11169.0,10882.935822628571,100.0,100.0,False,False,7,7,8.253570742857164,HAM
193,271.7083328,263.0,11214.6874656,10923.0,100.0,100.0,False,False,7,7,8.708332799999994,HAM
194,272.7083328,266.7187528,11279.1874656,11025.5313272,100.0,100.0,False,False,7,7,5.9895799999999895,HAM
195,273.0,270.0,11298.0,11116.0,100.0,100.0,False,False,7,7,3.0,HAM
196,275.5624992,270.49000192,11325.3333248,11125.55503744,100.0,100.0,False,False,7,7,5.072497279999993,HAM
197,276.0,271.89000192,11330.0,11152.85503744,100.0,100.0,False,False,7,7,4.109998080000025,HAM
198,276.0,272.0,11446.0,11155.0,100.0,100.0,False,False,7,7,4.0,HAM
199,277.28,273.4166677333333,11468.4,11204.583370666667,100.0,100.0,False,False,7,7,3.863332266666646,HAM
200,280.0,274.0,11516.0,11225.0,100.0,100.0,False,False,7,7,6.0,HAM
201,281.8492456364235,274.7916672,11592.743693911576,11346.1250816,100.0,100.0,False,False,7,7,7.057578436423512,HAM
202,282.0,275.0,11599.0,11378.0,100.0,100.0,False,False,7,7,7.0,HAM
203,282.0,277.3625024,11606.0,11408.24003072,100.0,100.0,False,False,7,7,4.637497600000017,HAM
204,283.3214281142857,280.0,10993.51806902857,11442.0,100.0,100.0,False,False,7,7,3.321428114285709,HAM
205,284.0,281.05555626666666,10679.0,11522.7500544,100.0,100.0,False,False,7,7,2.944443733333344,HAM
206,284.0,282.0,10187.0,11595.0,100.0,100.0,False,False,8,7,2.0,HAM
207,284.0312496,282.6250016,10187.3437456,11608.4375344,100.0,100.0,False,False,8,7,1.406248000000005,HAM
208,285.1562496,284.0,10199.7187456,11638.0,100.0,100.0,False,False,8,7,1.1562496000000237,HAM
209,286.0,284.0,10209.0,11674.0,100.0,100.0,False,False,8,7,2.0,HAM
210,286.2031248,284.3406256,10230.9374784,11688.9875264,100.0,100.0,False,False,8,7,1.862499200000002,HAM
211,286.5781248,285.0,10271.4374784,11718.0,100.0,100.0,False,False,8,7,1.5781248000000119,HAM
212,287.0,285.0,10317.0,11718.0,100.0,100.0,False,False,8,7,2.0,HAM
213,287.44999936,285.1041669333333,10320.82499456,11566.1246112,100.0,100.0,False,False,8,7,2.345832426666675,HAM
214,289.0,285.2291669333333,10334.0,11383.8746112,100.0,100.0,False,False,8,7,3.7708330666666825,HAM
215,289.52,285.8958336,10367.8,10411.8746112,100.0,100.0,False,False,8,7,3.6241663999999787,HAM
216,290.0,286.0,10399.0,10260.0,100.0,100.0,False,False,8,8,4.0,HAM
217,290.78,289.0,10413.3,10270.0,100.0,100.0,False,False,8,8,1.7799999999999727,HAM
218,292.58749952,289.4,10446.4374912,10336.0,100.0,100.0,False,False,8,8,3.187499520000017,HAM
219,293.0,289.9031256,10454.0,10419.015724,100.0,100.0,False,False,8,8,3.09687439999999,HAM
220,293.0,290.0,10455.142857142857,10435.0,100.0,100.0,False,False,8,8,3.0,HAM
221,293.0,292.3343768,10458.374998857144,10464.5687728,100.0,100.0,False,False,8,8,0.6656232000000273,HAM
222,293.0,293.0,10459.0,10473.0,100.0,100.0,False,False,8,8,0.0,RUS
223,293.0,293.0,10434.0,10475.35269761113,100.0,100.0,False,False,8,8,0.0,RUS
224,293.0,293.0,10438.125,10476.0,100.0,100.0,False,False,8,8,0.0,RUS
225,293.0,293.0,10449.0,10476.0,100.0,100.0,False,False,8,8,0.0,RUS
226,292.6,291.9,10440.2,10483.425,100.0,73.875,False,False,8,8,0.7000000000000455,HAM
227,292.26666666666665,289.0,10432.866666666667,10503.0,100.0,5.0,False,False,8,8,3.2666666666666515,HAM
228,292.0,288.8,10427.0,10489.433333333332,100.0,4.833333333333333,False,False,8,8,3.1999999999999886,HAM
229,291.4142857142857,283.3,10442.814285714287,10116.35,86.52857142857142,0.25,False,False,8,8,8.1142857142857,HAM
230,291.0,283.0,10454.0,10096.0,77.0,0.0,False,False,8,8,8.0,HAM
231,289.8750016,275.85,10268.6565136,9593.55,67.156264,0.0,False,False,8,8,14.025001599999996,HAM
232,287.0,272.0,9795.0,9323.0,42.0,0.0,True,True,8,8,15.0,HAM
233,271.375008,223.28571428571428,9206.87530112,8705.657142857142,15.75001344,0.0,True,True,8,8,48.0892937142857,HAM
234,262.0,217.0,8854.0,8626.0,0.0,0.0,True,True,8,8,45.0,HAM
235,225.0,204.2,9063.0,8544.4,0.0,0.0,True,True,8,8,20.80000000000001,HAM
236,219.65714285714284,193.0,9046.342857142858,8473.0,0.0,0.0,True,True,8,8,26.657142857142844,HAM
237,191.0,187.57857645714284,8957.0,8536.8249408,0.0,0.0,True,True,7,8,3.4214235428571556,HAM
238,190.63889351111112,171.0,8969.527617422222,8732.0,0.0,0.0,True,True,7,8,19.63889351111112,HAM
239,165.0,162.75471467235985,9859.0,8891.69815792482,0.0,0.0,True,True,7,8,2.245285327640147,HAM
240,162.9,152.0,9940.2,9100.0,0.0,0.0,True,True,7,8,10.900000000000006,HAM
241,144.0,137.0,10671.0,9722.0,0.0,0.0,True,True,7,6,7.0,HAM
242,141.8,132.2312416,10425.92,9360.2556128,0.0,0.0,True,True,7,6,9.568758400000007,HAM
243,135.7500032,130.0,9751.95035648,9191.0,0.0,0.0,True,True,7,5,5.750003200000009,HAM
244,134.0,128.1571401142857,9557.0,8961.563944228572,0.0,0.0,True,True,6,5,5.84285988571429,HAM
245,129.05000192,126.0,9145.73765952,8693.0,0.0,0.0,True,True,6,3,3.0500019199999997,HAM
246,122.0,124.24999552,8560.0,8640.99986688,0.0,0.0,True,True,3,3,-2.249995519999999,RUS
